Product No.,Description,CAS,Package Size,Price (Euro),USP Traceability
PHR1779,Betamethasone Acetate,987-24-6,1 g,EUR 292,1067001
PHR1780,Betamethasone Valerate,2152-44-5,1 g,EUR 344,1069007
PHR1781,Oseltamivir Phosphate,204255-11-8,500 mg,EUR 196,1479304
PHR1782,Hydroxychloroquine Sulfate,747-36-4,1 g,EUR 292,1327000
PHR1783,Anastrozole,120511-73-1,500 mg,EUR 393,1034807
PHR1784,Aripiprazole,129722-12-9,500 mg,EUR 292,1042634
PHR1785,Aztreonam,78110-38-0,500 mg,EUR 292,1046205
PHR1786,Chondroitin Sulfate Sodium,9082-07-9,500 mg,EUR 196,1133570
PHR1787,Cytarabine,147-94-4,500 mg,EUR 196,1162002
PHR1788,Docosahexaenoic Acid Ethyl Ester,81926-94-5,1 g,EUR 196,1224620
PHR1789,Doxorubicin Hydrochloride,25316-40-9,200 mg,EUR 474,1225703
PHR1790,Eicosapentaenoic Acid Ethyl Ester,86227-47-6,1 g,EUR 292,1234307
PHR1791,Ferulic Acid,537-98-4,100 mg,EUR 196,1270311
PHR1792,Fluphenazine Hydrochloride,146-56-5,1 g,EUR 196,1282004
PHR1793,Fluvoxamine Maleate,61718-82-9,500 mg,EUR 585,1285909
PHR1794,Hesperidin,520-26-3,500 mg,EUR 196,1304377
PHR1795,Iminodibenzyl,494-19-9,100 mg,EUR 971,1337004
PHR1796,Imipenem,74431-23-5,200 mg,EUR 236,1337809
PHR1797,Imipramine Hydrochloride,113-52-0,1 g,EUR 196,1338007
PHR1798,Levamisole Hydrochloride,16595-80-5,250 mg,EUR 196,1359302
PHR1799,Meloxicam,71125-38-7,500 mg,EUR 196,1379401
PHR1800,Metamizole Sodium,5907-38-0,100 mg,EUR 196,
PHR1801,Minocycline Hydrochloride,13614-98-7,500 mg,EUR 292,1444004
PHR1802,Naloxone hydrochloride dihydrate,51481-60-8,300 mg,EUR 292,1453005
PHR1803,Paclitaxel,33069-62-4,200 mg,EUR 585,1491332
PHR1804,Paroxetine hydrochloride,110429-35-1,500 mg,EUR 255,1500218
PHR1805,Piperacillin,66258-76-2,1 g,EUR 196,1541500
PHR1806,Rifampin,13292-46-1,500 mg,EUR 292,1604009
PHR1807,Sildenafil Citrate,171599-83-0,500 mg,EUR 196,1612561
PHR1809,Tacrolimus,109581-93-3,150 mg,EUR 585,1642802
PHR1810,Tadalafil,171596-29-5,500 mg,EUR 196,1642879
PHR1811,Teicoplanin,61036-62-2,100 mg,EUR 196,
PHR1812,Tranexamic acid,1197-18-8,500 mg,EUR 196,1672745
PHR1813,Glipizide Related Compound A,33288-71-0,50 mg,EUR 942,1292609
PHR1816,Furosemide Related Compound B,3086-91-7,100 mg,EUR 755,1287030
PHR1817,Furosemide Related Compound A,4818-59-1,100 mg,EUR 604,1287020
PHR1818,Glipizide,29094-61-9,1 g,EUR 191,1292507
PHR1820,Triamterene Related Compound C,19152-93-3,100 mg,EUR 942,1680030
PHR1822,Budesonide Related Compound G,137174-25-5,50 mg,EUR 942,1078267
PHR1823,Budesonide Related Compound L,216453-74-6,50 mg,EUR 942,1078289
PHR1825,Olanzapine,132539-06-1,1 g,EUR 241,1478301
PHR1826,Fluconazole Related Compound C,514222-44-7,20 mg,EUR 755,1271733
PHR1827,Moxidectin,113507-06-5,500 mg,EUR 284,1448559
PHR1828,Eucalyptol (cineole),470-82-6,500 mg,EUR 193,1268900
PHR1829,Hypromellose,9004-65-3,500 mg,EUR 233,1330005
PHR1830,Desogestrel,54024-22-5,100 mg,EUR 191,1173235
PHR1831,Bromhexine hydrochloride,611-75-6,200 mg,EUR 148,
PHR1832,Fenbendazole,43210-67-9,200 mg,EUR 193,1269403
PHR1833,Galactitol,608-66-2,1 g,EUR 284,1287711
PHR1834,Itraconazole,84625-61-6,200 mg,EUR 208,1354251
PHR1835,Methyl Nicotinate,93-60-7,500 mg,EUR 132,
PHR1836,Naphazoline hydrochloride,550-99-2,500 mg,EUR 153,1457006
PHR1837,Theobromine,83-67-0,100 mg,EUR 193,
PHR1839,Amiloride Hydrochloride,17440-83-4,1 g,EUR 241,1019701
PHR1840,Aminobenzoic Acid,150-13-0,500 mg,EUR 193,1019803
PHR1841,Amoxapine,14028-44-5,500 mg,EUR 284,1031401
PHR1842,Fluticasone Related Compound A,948566-12-9,50 mg,EUR 942,
PHR1843,Fluticasone Related Compound C,,10 mg,EUR 575,
PHR1844,Fluticasone Related Compound D,73205-13-7,30 mg,EUR 942,1285829
PHR1845,Fluticasone Related Compound F,1219174-94-3,50 mg,EUR 942,
PHR1846,Fluticasone Related Compound J,28416-82-2,30 mg,EUR 942,1285818
PHR1847,Ceftazidime,78439-06-2,500 mg,EUR 193,1098130
PHR1848,Cephalexin,23325-78-2,1 g,EUR 193,1099008
PHR1850,Levonorgestrel,797-63-7,500 mg,EUR 193,1362602
PHR1851,Olmesartan Medoxomil,144689-63-4,200 mg,EUR 284,1478367
PHR1852,Raloxifene Hydrochloride,82640-04-8,500 mg,EUR 193,1598201
PHR1853,Tetrahydrozoline hydrochloride,522-48-5,500 mg,EUR 284,1652001
PHR1854,Candesartan Cilexetil,145040-37-5,200 mg,EUR 284,1087803
PHR1855,Telmisartan,144701-48-4,500 mg,EUR 241,1643419
PHR1856,Quetiapine Fumarate,111974-72-2,1 g,EUR 241,1592704
PHR1857,Sitagliptin Phosphate,654671-77-9,1 g,EUR 193,1612903
PHR1858,Daidzein,486-66-8,100 mg,EUR 153,1162421
PHR1859,Genistein,446-72-0,100 mg,EUR 153,1288816
PHR1860,Amikacin Sulfate,39831-55-5,1 g,EUR 152,1019494
PHR1862,Fluconazole Related Compound B,81886-51-3,20 mg,EUR 755,1271722
PHR1864,Brompheniramine Maleate,980-71-2,500 mg,EUR 193,1078008
PHR1865,Duloxetine Hydrochloride,136434-34-9,500 mg,EUR 284,1229817
PHR1866,Ezetimibe,163222-33-1,1 g,EUR 284,1269028
PHR1867,Rivastigmine Hydrogen Tartrate,129101-54-8,1 g,EUR 381,1604858
PHR1869,Atorvastatin Related Compound B,887196-25-0,30 mg,EUR 755,1044538
PHR1870,Atorvastatin Related Compound C,693793-53-2,30 mg,EUR 755,1044549
PHR1871,Atorvastatin Related Compound D,148146-51-4,30 mg,EUR 755,1044550
PHR1872,Atorvastatin Related Compound E,1105067-88-6,30 mg,EUR 755,1044571
PHR1873,Atorvastatin Related Compound H,125995-03-1,30 mg,EUR 755,1044582
PHR1874,Atorvastatin Related Compound I,125971-95-1,30 mg,EUR 755,1044593
PHR1875,Valsartan Related Compound A,,30 mg,EUR 755,1708773
PHR1876,Valsartan Related Compound B,952652-79-8,30 mg,EUR 755,1708784
PHR1877,Valsartan Related Compound C,,30 mg,EUR 755,1708795
PHR1880,Octreotide Acetate,79517-01-4,10 mg,EUR 381,1477604
PHR1881,Articaine Hydrochloride,23964-57-0,500 mg,EUR 236,1042918
PHR1882,Articaine,23964-58-1,100 mg,EUR 153,1042907
PHR1883,Docetaxel,148408-66-6,200 mg,EUR 381,1224551
PHR1884,Latanoprost,130209-82-4,50 mg,EUR 1130,1357475
PHR1885,Linezolid,165800-03-3,500 mg,EUR 284,1367561
PHR1886,Memantine Hydrochloride,41100-52-1,1 g,EUR 284,1380502
PHR1887,Perindopril erbumine,107133-36-8,500 mg,EUR 381,1510889
PHR1888,Risedronate Sodium,329003-65-8,1 g,EUR 284,1604610
PHR1889,Rizatriptan Benzoate,145202-66-0,500 mg,EUR 381,1604880
PHR1890,Tiotropium bromide monohydrate,139404-48-1,50 mg,EUR 381,
PHR1891,Tolterodine Tartrate,124937-52-6,500 mg,EUR 381,1671480
PHR1892,Voriconazole,137234-62-9,1 g,EUR 284,1718008
PHR1893,Zoledronic Acid,165800-06-6,1 g,EUR 284,1724827
PHR1894,Exemestane Related Compound A,19457-55-7,30 mg,EUR 755,1269061
PHR1895,Exemestane Related Compound B,184972-09-6,30 mg,EUR 1130,1269072
PHR1896,Exemestane Related Compound D,,30 mg,EUR 755,
PHR1897,Diphenhydramine Impurity B,4024-34-4,50 mg,EUR 755,
PHR1898,Diphenhydramine N-Oxide Hydrochloride,13168-00-8,50 mg,EUR 755,1218050
PHR1899,Diphenhydramine Related Compound B,19574-66-4,50 mg,EUR 755,1218027
PHR1900,Fluconazole Impurity A,89429-59-4,50 mg,EUR 657,
PHR1901,Citalopram Related Compound A,64372-56-1,50 mg,EUR 755,1134244
PHR1902,Citalopram Related Compound C,,50 mg,EUR 755,1134266
PHR1903,Citalopram Related Compound D,97743-99-2,30 mg,EUR 755,1134277
PHR1904,Citalopram Related Compound E,,50 mg,EUR 755,1134288
PHR1905,Citalopram Related Compound G,1332724-08-9,25 mg,EUR 701,1134197
PHR1907,Acebutolol hydrochloride,34381-68-5,250 mg,EUR 284,1000601
PHR1908,Acetazolamide,59-66-5,5 g,EUR 381,1005004
PHR1909,Atenolol,29122-68-7,500 mg,EUR 191,1044403
PHR1910,Ciprofloxacin Related Compound A,526204-10-4,50 mg,EUR 980,1134346
PHR1911,Azacitidine,320-67-2,300 mg,EUR 247,1045520
PHR1912,Benazepril hydrochloride,86541-74-4,250 mg,EUR 284,1048619
PHR1913,Bisoctrizole,103597-45-1,500 mg,EUR 381,1075677
PHR1914,2-Ethylhexanoic acid,149-57-5,3 x 1.2 mL,EUR 191,
PHR1915,"2,2,4-Trimethylpentane (Isooctane)",540-84-1,3 x 1.2 mL,EUR 191,
PHR1916,Diacetone Alcohol,123-42-2,3 x 1.2 mL,EUR 241,
PHR1917,Buspirone hydrochloride,33386-08-2,500 mg,EUR 381,
PHR1918,Carbamazepine Related Compound A,3564-73-6,50 mg,EUR 755,1093012
PHR1919,Chlorzoxazone,95-25-0,500 mg,EUR 191,1130505
PHR1920,Ciclopirox,29342-05-0,500 mg,EUR 247,1134018
PHR1921,Clobetasol Propionate,25122-46-7,500 mg,EUR 284,1138405
PHR1922,Cloxacillin Sodium,7081-44-9,500 mg,EUR 193,1142005
PHR1923,Cortisone Acetate,50-04-4,300 mg,EUR 247,1150003
PHR1924,Dacarbazine,4342-03-4,250 mg,EUR 153,1162308
PHR1925,Dorzolamide hydrochloride,130693-82-2,500 mg,EUR 332,1225281
PHR1926,Hydrocortisone Hemisuccinate,83784-20-7,500 mg,EUR 275,1319002
PHR1927,Lopinavir,192725-17-0,1 g,EUR 355,1370101
PHR1928,Rosuvastatin Calcium,147098-20-2,1 g,EUR 284,1606015
PHR1929,Ubidecarenone,303-98-0,500 mg,EUR 284,1705301
PHR1930,Ethambutol hydrochloride,1070-11-7,500 mg,EUR 241,1257007
PHR1931,Iohexol,66108-95-0,1 g,EUR 153,1344600
PHR1932,Isoniazid,54-85-3,500 mg,EUR 193,1349706
PHR1933,Ibuprofen Impurity A,66622-47-7,20 mg,EUR 942,
PHR1934,Ibuprofen Impurity B,,20 mg,EUR 942,
PHR1935,Ibuprofen Impurity N,3585-52-2,20 mg,EUR 942,
PHR1936,Riboflavin Impurity A,,10 mg,EUR 942,
PHR1939,Hydroxyproline,51-35-4,500 mg,EUR 193,
PHR1940,Aspirin Impurity D,530-75-6,50 mg,EUR 755,
PHR1941,Aspirin Impurity E,552-94-3,200 mg,EUR 381,1609807
PHR1942,Aspirin Impurity F,1466-82-6,50 mg,EUR 755,
PHR1943,Methacholine Chloride,62-51-1,1 g,EUR 220,1396364
PHR1944,Quinapril Hydrochloride,82586-55-8,1 g,EUR 343,1593401
PHR1945,Ouabain,11018-89-6,300 mg,EUR 153,
PHR1947,Salmeterol Xinafoate,94749-08-3,500 mg,EUR 466,1609603
PHR1948,Sodium Carbonate Anhydrous,497-19-8,2 g,EUR 153,1613757
PHR1949,Sodium Lauryl Sulfate,151-21-3,2 g,EUR 193,1614363
PHR1950,Spiramycin,8025-81-8,500 mg,EUR 193,
PHR1951,Caffeine Impurity E Nitrate (Caffeidine Nitrate),,30 mg,EUR 755,
PHR1952,Fluoxetine Related Compound A,79088-29-2,30 mg,EUR 755,1279815
PHR1953,Fluoxetine Related Compound C,1026723-45-4,30 mg,EUR 755,1279837
PHR1954,N′-Methyl Omeprazole,,30 mg,EUR 755,
PHR1955,Mepivacaine hydrochloride,1722-62-9,500 mg,EUR 241,1387002
PHR1956,D-Glucuronic Acid,6556-12-3,200 mg,EUR 284,1294319
PHR1957,Tenofovir disoproxil fumarate,202138-50-9,500 mg,EUR 191,1643656
PHR1958,Irbesartan Related Compound A,748812-53-5,50 mg,EUR 942,1347711
PHR1959,Salbutamol Impurity B,96948-64-0,50 mg,EUR 804,
PHR1960,Salbutamol Impurity D,156339-88-7,50 mg,EUR 818,1358820
PHR1961,Salbutamol Impurity G,,50 mg,EUR 818,
PHR1962,Salbutamol impurity I,56796-66-8,20 mg,EUR 942,
PHR1963,(+)-Catechin,154-23-4,50 mg,EUR 332,1096790
PHR1964,Ibuprofen Impurity F,65322-85-2,30 mg,EUR 381,
PHR1965,Ibuprofen Impurity G,1391054-15-1,50 mg,EUR 657,
PHR1966,Clarithromycin Impurities G and O,,10 mg,EUR 645,
PHR1967,Albuterol Related Compound A,,30 mg,EUR 804,1012644
PHR1968,Clarithromycin Impurity Q,118074-07-0,20 mg,EUR 804,1134631
PHR1970,Acetaminophen Impurity C,,100 mg,EUR 485,
PHR1971,Acetaminophen Impurity E,99-93-4,100 mg,EUR 485,
PHR1972,Acetaminophen Impurity G,,100 mg,EUR 485,
PHR1973,Acetaminophen Impurity I,118-93-4,100 mg,EUR 485,
PHR1974,Dextrorphan tartrate,143-98-6,30 mg,EUR 405,
PHR1975,Dextromethorphan Impurity C,57969-05-8,30 mg,EUR 645,
PHR1977,Lidocaine Impurity D,,50 mg,EUR 726,
PHR1978,Ibuprofen Related Compound J,65813-55-0,50 mg,EUR 645,1335596
PHR1980,Clarithromycin Impurity N,,20 mg,EUR 645,
PHR1981,Allopurinol Related Compound F,321571-07-7,50 mg,EUR 645,1013079
PHR1982,Ibuprofen Impurity R,,50 mg,EUR 804,
PHR1983,Ibuprofen Impurity O,64451-76-9,30 mg,EUR 473,
PHR1984,Ibuprofen Impurity I,,50 mg,EUR 645,
PHR1985,Iopamidol,60166-93-0,500 mg,EUR 243,1344702
PHR1986,Omeprazole Related Compound B,37052-78-1,30 mg,EUR 645,1478480
PHR1987,Omeprazole Impurity B,110374-16-8,30 mg,EUR 575,
PHR1988,Omeprazole Impurity C,73590-85-9,30 mg,EUR 657,
PHR1989,Omeprazole Impurity H,863029-89-4,30 mg,EUR 719,
PHR1990,Clopidogrel Related Compound A,144750-42-5,40 mg,EUR 901,1140586
PHR1991,Clopidogrel Related Compound B,2137493-39-9,40 mg,EUR 657,1140597
PHR1992,Clopidogrel Related Compound C,120202-71-3,40 mg,EUR 657,1140600
PHR1993,Diphenhydramine Related Compound A,53499-40-4,50 mg,EUR 657,1218016
PHR1994,Lidocaine Impurity F,857170-72-0,50 mg,EUR 657,
PHR1995,Lidocaine Impurity G,,50 mg,EUR 657,
PHR1996,Thiamine Impurity A,,20 mg,EUR 465,
PHR1997,Thiamine Impurity B,,20 mg,EUR 662,
PHR1998,Thiamine Impurity C,,20 mg,EUR 530,
PHR1999,Caffeine Impurity C,519-32-4,50 mg,EUR 657,
PHR2000,Caffeine Impurity F,611-59-6,50 mg,EUR 657,
PHR2001,Folic Acid Impurity B,35011-47-3,20 mg,EUR 657,
PHR2002,Folic Acid Impurity D,119-24-4,100 mg,EUR 657,
PHR2003,Folic Acid Impurity F,1391194-56-1,20 mg,EUR 657,
PHR2004,Chlorpheniramine Impurity A,1246816-57-8,50 mg,EUR 409,
PHR2005,Allopurinol Related Compound A,27511-79-1,50 mg,EUR 657,1013024
PHR2006,Allopurinol Related Compound B,22407-20-1,50 mg,EUR 657,1013013
PHR2007,Allopurinol Related Compound C,1346604-13-4,50 mg,EUR 657,1013035
PHR2008,Allopurinol Related Compound D,6994-25-8,50 mg,EUR 657,1013046
PHR2009,Allopurinol Related Compound E,31055-19-3,50 mg,EUR 657,1013068
PHR2010,Pramipexole Related Compound A,106092-09-5,50 mg,EUR 657,1553768
PHR2011,Gabapentin Related Compound B,133481-09-1,100 mg,EUR 657,1287347
PHR2012,Gabapentin Related Compound D,1076198-17-8,20 mg,EUR 1060,1287358
PHR2013,Gabapentin Related Compound E,67950-95-2,50 mg,EUR 657,1287369
PHR2014,Triamterene Related Compound A,1006-23-1,100 mg,EUR 657,1680018
PHR2015,Raloxifene Related Compound C,195454-31-0,40 mg,EUR 818,1598234
PHR2016,Olmesartan Medoxomil Related Compound A,849206-43-5,40 mg,EUR 818,1478378
PHR2017,Candesartan Cilexetil Related Compound A,139481-58-6,20 mg,EUR 648,1087814
PHR2018,Candesartan Cilexetil Related Compound B,869631-11-8,20 mg,EUR 818,1087825
PHR2019,Candesartan Cilexetil Related Compound D,,20 mg,EUR 818,1087847
PHR2020,Candesartan Cilexetil Related Compound F,,20 mg,EUR 657,1087869
PHR2021,Candesartan Cilexetil Related Compound G,139481-59-7,20 mg,EUR 818,1087870
PHR2022,Candesartan Cilexetil Impurity I,139481-69-9,20 mg,EUR 639,
PHR2023,"(E)-2-[(1-Benzylpiperidin-4-yl)methylene]-5,6-dimethoxyindan-1-one(Donepezil Related Compound A)",145546-80-1,50 mg,EUR 657,1224992
PHR2025,Desbenzyl donepezil hydrochloride,120013-39-0,50 mg,EUR 657,1171819
PHR2026,Testosterone Propionate,57-85-2,, ,1649007
PHR2027,Testosterone,58-22-0,250 mg,EUR 330,1646009
PHR2028,Ibuprofen Impurity H,,50 mg,EUR 657,
PHR2029,Rivastigmine Related Compound A,32634-68-7,30 mg,EUR 657,1604869
PHR2030,Rivastigmine Related Compound B,25081-93-0,30 mg,EUR 657,1604870
PHR2031,Rivastigmine Related Compound C,139306-10-8,30 mg,EUR 657,1604811
PHR2032,Rivastigmine Related Compound D,855300-09-3,100 mg,EUR 657,1604825
PHR2033,Rivastigmine Related Compound E,,30 mg,EUR 657,1604950
PHR2034,Rivastigmine Related Compound F,1346602-84-3,50 mg,EUR 657,1604961
PHR2035,Candesartan cilexetil impurity C,,20 mg,EUR 657,
PHR2036,Candesartan Cilexetil Impurity E,914613-35-7,20 mg,EUR 657,
PHR2037,Fluconazole Impurity H,,30 mg,EUR 657,
PHR2038,Caffeine Impurity B,7597-60-6,50 mg,EUR 657,1653037
PHR2039,Xylometazoline hydrochloride,1218-35-5,500 mg,EUR 247,1721002
PHR2040,Albuterol Related Compound B,41489-89-8,50 mg,EUR 818,1012655
PHR2041,Fluoxetine Related Compound B,23580-89-4,, ,1279826
PHR2042,Galactosamine hydrochloride,1772-03-8,200 mg,EUR 207,1287722
PHR2044,Mannose,3458-28-4,1 g,EUR 130,1375182
PHR2046,Fluconazole Impurity E,86404-63-9,30 mg,EUR 657,
PHR2047,Fluconazole Impurity F,118689-07-9,30 mg,EUR 657,
PHR2048,Fluconazole Impurity G,86386-76-7,30 mg,EUR 657,
PHR2050,Amlodipine Related Compound A,2138811-33-1,50 mg,EUR 499,1029512
PHR2051,Amlodipine Impurity B,721958-72-1,50 mg,EUR 530,
PHR2052,Amlodipine Related Compound C,43067-01-2,50 mg,EUR 492,1029534
PHR2053,Amlodipine Related Compound D,88150-62-3,50 mg,EUR 530,1029545
PHR2056,Amlodipine Related Compound K,1621516-91-3,50 mg,EUR 629,1029614
PHR2059,Clarithromycin Impurity K,127157-35-1, ,EUR 566,
PHR2061,Amiloride Related Compound A,1458-01-1,50 mg,EUR 461,1019712
PHR2063,Ambroxol Hydrochloride,23828-92-4,300 mg,EUR 117,
PHR2064,Abacavir Related Compound A,124752-25-6,50 mg,EUR 714,1000420
PHR2065,Abacavir Related Compound B,,50 mg,EUR 714,1000441
PHR2066,Abacavir Related Compound C,172015-79-1,50 mg,EUR 678,1000452
PHR2067,Abacavir Related Compound D,1443421-69-9,50 mg,EUR 546,
PHR2068,Efavirenz Related Compound A,209414-27-7,50 mg,EUR 648,1234125
PHR2069,Efavirenz Related Compound B,440124-96-9,50 mg,EUR 776,1234147
PHR2070,Efavirenz Related Compound C,391860-73-4,50 mg,EUR 648,1234136
PHR2071,Benzhydrol,91-01-0,100 mg,EUR 401,1051602
PHR2072,Efavirenz,154598-52-4,500 mg,EUR 321,1234103
PHR2073,Abacavir Impurity E,208762-35-0,50 mg,EUR 662,
PHR2074,Abacavir Impurity F,1443421-68-8,50 mg,EUR 546,
PHR2075,Risedronate Related Compound A,105462-23-5,50 mg,EUR 517,1604621
PHR2077,Risedronate Related Compound C,75755-10-1,50 mg,EUR 517,1604643
PHR2078,Risedronate Impurity C,105462-25-7,50 mg,EUR 517,
PHR2079,Risedronate Impurity D,6419-36-9,50 mg,EUR 517,
PHR2080,Pyrantel Pamoate,22204-24-6,1 g,EUR 124,1584003
PHR2081,Pyrantel Related Compound A,,50 mg,EUR 648,1584014
PHR2082,Pyrantel Impurity B,36700-39-7,50 mg,EUR 648,
PHR2083,Pyrantel Impurity C,98-03-3,50 mg,EUR 517,
PHR2084,Pyrantel Impurity D,4271-96-9,50 mg,EUR 259,
PHR2085,Dextrose Impurity B,499-40-1,100 mg,EUR 499,
PHR2086,Dextrose Impurity C,1109-28-0,1 g,EUR 194,1375047
PHR2087,Nicotinamide Impurity B,100-54-9,100 mg,EUR 499,
PHR2088,Nicotinamide Impurity C,1452-77-3,100 mg,EUR 250,
PHR2089,Nicotinamide Impurity D,1453-82-3,100 mg,EUR 517,
PHR2090,Nicotinamide Impurity E,1986-81-8,100 mg,EUR 250,
PHR2091,Nicotinamide Impurity F,1005-24-9,100 mg,EUR 489,
PHR2092,Ethylene Oxide and Dioxane Standard Solution,,5 mL,EUR 142,
PHR2093,Ethylene Oxide and Acetaldehyde Standard Solution,,5 mL,EUR 142,
PHR2094,Diethylamino Hydroxybenzoyl Hexyl Benzoate,302776-68-7,5 g,EUR 420,
PHR2095,Levodopa Related Compound A,27244-64-0,100 mg,EUR 499,1361010
PHR2096,Levodopa Related Compound B,7636-26-2,100 mg,EUR 499,1420006
PHR2097,Betahistine Hydrochloride,5579-84-0,500 mg,EUR 167,1065618
PHR2099,Cefotaxime Sodium,64485-93-4,1 g,EUR 132,1097909
PHR2100,Arabinose,10323-20-3,500 mg,EUR 105,1042055
PHR2101,Ribose,50-69-1,500 mg,EUR 128,1603108
PHR2102,Xylose,58-86-6,500 mg,EUR 126,1722005
PHR2105,Chlorphenamine N-Oxide Maleate,120244-82-8,100 mg,EUR 331,
PHR2107,Acetaldehyde,75-07-0,3 x 1.2 mL,EUR 126,1002811
PHR2108,"1,2-Dichloroethane",107-06-2,3 x 1.2 mL,EUR 105,1601180
PHR2109,Isopropyl acetate,108-21-4,3 x 1.2 mL,EUR 128,1350104
PHR2110,"N,N-Dimethylacetamide",127-19-5,3 x 1.2 mL,EUR 128,1601485
PHR2110,"N,N-Dimethylacetamide",127-19-5,3 x 1.2 mL,EUR 128,1601485
PHR2111,Paclitaxel Related Compound A,71610-00-9,50 mg,EUR 656,1491343
PHR2112,Paclitaxel Related Compound B,78454-17-8,50 mg,EUR 466,1491354
PHR2115,Articaine Related Compound B,114176-52-2,50 mg,EUR 623,1042930
PHR2117,"4,4′-Difluorobenzophenone",345-92-6,200 mg,EUR 128,
PHR2118,Dimethyl Fumarate,624-49-7,500 mg,EUR 128,
PHR2119,Norgestimate,35189-28-7,500 mg,EUR 210,1471914
PHR2120,Emtricitabine,143491-57-0,500 mg,EUR 143,1235106
PHR2122,2-(4-Isobutyrylphenyl)propanamide,,50 mg,EUR 143,
PHR2123,Minoxidil,38304-91-5,200 mg,EUR 166,1444208
PHR2124,4-Isobutyrylacetophenone,103931-20-0,100 mg,EUR 583,
PHR2136,4-(1-Hydroxy-2-methylpropyl)-acetophenone,,100 mg,EUR 701,
PHR2141,2-(4-Isobutylphenyl)prop-2-enoic Acid,,50 mg,EUR 701,
PHR2142,"Ibuprofen 1,3-Butylene Glycol Esters",,100 mg,EUR 701,
PHR2143,"Ibuprofen 2,3-Butylene Glycol Ester",,50 mg,EUR 128,
PHR2144,"Ibuprofen 1,2-Propylene Glycol Esters",,50 mg,EUR 276,
PHR2145,"Ibuprofen 1,2-Propanetriol Esters",,50 mg,EUR 359,
PHR2146,2-(4-Isobutylphenyl)-N-(1-phenylethyl)propionamide,105959-56-6,100 mg,EUR 351,
PHR2148,Phenylephrine Related Compound D,1367567-95-0,100 mg,EUR 791,1533035
PHR2149,Phenylephrine Related Compound F,,100 mg,EUR 633,1533261
PHR2150,Phenylephrine Related Compound G,1094089-46-9,100 mg,EUR 761,1533272
PHR2151,"1,2,3,4-Tetrahydro-4,6-dihydroxy-2-methylisoquinoline hydrochloride",57196-61-9,100 mg,EUR 676,
PHR2153,2-Hydroxy-N-[(2R)-2-hydroxy-2-(3-hydroxyphenyl)ethyl]-N-methylacetamide,,100 mg,EUR 676,
PHR2154,N-Formylphenylephrine,,100 mg,EUR 676,
PHR2155,Cortisone,53-06-5,500 mg,EUR 120,1149999
PHR2158,Hydrocortisone Impurity F,152-58-9,100 mg,EUR 237,
PHR2159,Hydrocortisone Impurity G,14760-49-7,50 mg,EUR 1930,
PHR2160,Hydrocortisone Impurity J,,50 mg,EUR 1930,
PHR2161,Hydrocortisone Impurity K,640-87-9,50 mg,EUR 1930,
PHR2162,Hydrocortisone Impurity L,641-77-0,50 mg,EUR 586,
PHR2163,Hydrocortisone Impurity M,566-35-8,50 mg,EUR 1930,
PHR2167,Duloxetine Related Compound H,199191-66-7,50 mg,EUR 656,1229883
PHR2168,Thiamine Impurity D,490-82-4,100 mg,EUR 586,
PHR2169,Ethylthiamine HCl,,100 mg,EUR 701,
PHR2170,Thiamine Impurity G,1037-29-2,100 mg,EUR 583,
PHR2172,Thiamine Impurity I,13100-57-7,50 mg,EUR 494,
PHR2173,Plastic Additive 2,6683-19-8,1 g,EUR 194,1544938
PHR2174,Plastic Additive 4,2082-79-3,1 g,EUR 194,1544950
PHR2179,Ranitidine Impurity H,72078-82-1,100 mg,EUR 351,
PHR2180,Ranitidine Impurity I,,100 mg,EUR 1170,
PHR2181,Ranitidine Impurity J,1331637-48-9,100 mg,EUR 1760,
PHR2183,Diisopropyl Ether,108-20-3,3 x 1.2 mL,EUR 143,
PHR2184,tert-Butanol,75-65-0,3 x 1.2 mL,EUR 143,
PHR2186,Lumefantrine,82186-77-4,500 mg,EUR 583,1370746
PHR2187,Piroctone Olamine,68890-66-4,500 mg,EUR 583,1544406
PHR2190,Amoxicillin Related Compound C,,50 mg,EUR 476,1031536
PHR2191,Amoxicillin Related Compound D,1204829-51-5,50 mg,EUR 417,1031547
PHR2192,Amoxicillin Related Compound E,178738-48-2,50 mg,EUR 476,1031558
PHR2193,Amoxicillin Related Compound F,126247-63-0,100 mg,EUR 701,1031569
PHR2195,Amoxicillin Impurity H,205826-86-4,100 mg,EUR 583,1031616
PHR2197,(2R)-2-Amino-2-(4-hydroxyphenyl)-acetamide,54397-23-8,100 mg,EUR 583,
PHR2198,Apigenin,520-36-5,75 mg,EUR 156,1040683
PHR2199,Apigenin-7-Glucoside,578-74-5,75 mg,EUR 390,1040708
PHR2200,Ginsenoside Rg1,22427-39-0,50 mg,EUR 210,1291672
PHR2201,Trans-Resveratrol,501-36-0,200 mg,EUR 176,1602105
PHR2202,Chlorogenic Acid,327-97-9,100 mg,EUR 188,1115545
PHR2203,Potassium Nitrate,7757-79-1,1 g,EUR 583,1548349
PHR2204,Sodium Trimetaphosphate,7785-84-4,1 g,EUR 95.9,
PHR2205,Tetrasodium Pyrophosphate Decahydrate,13472-36-1,1 g,EUR 99.4,
PHR2206,Dextromethorphan N-Oxide HCl,1177419-85-0,100 mg,EUR 563,
PHR2207,Thiamine Thiocarbamate,89285-03-0,100 mg,EUR 563,
PHR2208,Carnosic Acid,3650-09-7,20 mg,EUR 136,1096746
